2022-04-17 12:17:48 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.3.Final
2022-04-17 17:04:05 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-04-17 17:04:05 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3308 ms
2022-04-17 17:04:09 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
2022-04-17 17:04:10 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path ''
2022-04-17 17:04:13 [main] INFO  c.m.demo.config.server.ConfigServer - Started ConfigServer in 16.688 seconds (JVM running for 21.762)
2022-04-17 17:04:53 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.3.Final
2022-04-17 17:04:53 [main] INFO  c.m.demo.config.server.ConfigServer - Starting ConfigServer using Java 11.0.6 on AHMET-PC with PID 18712 (C:\development\assignment\poll-app-hexagonal\pollstack-demo\config-server\target\classes started by ahmet in C:\development\assignment\poll-app-hexagonal\pollstack-demo)
2022-04-17 17:04:53 [main] INFO  c.m.demo.config.server.ConfigServer - The following 2 profiles are active: "local", "native"
2022-04-17 17:04:56 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=91fb09b5-6906-35b5-aeb8-62cc0018aebc
2022-04-17 17:04:57 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2022-04-17 17:04:57 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2022-04-17 17:04:57 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2022-04-17 17:04:57 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.60]
2022-04-17 17:04:57 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-04-17 17:04:57 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3580 ms
2022-04-17 17:05:02 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
2022-04-17 17:05:02 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path ''
2022-04-17 17:05:05 [main] INFO  c.m.demo.config.server.ConfigServer - Started ConfigServer in 16.334 seconds (JVM running for 21.064)
2022-04-17 17:11:46 [http-nio-8888-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-04-17 17:11:46 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-04-17 17:11:46 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 3 ms
2022-04-17 17:11:47 [http-nio-8888-exec-1] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'class path resource [config/cloud-gateway-dev.yml]' via location 'classpath:/config/'
2022-04-17 17:11:51 [http-nio-8888-exec-2] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'class path resource [config/cloud-gateway-dev.yml]' via location 'classpath:/config/'
2022-04-17 17:13:26 [http-nio-8888-exec-5] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'class path resource [config/poll-manager-dev.yml]' via location 'classpath:/config/'
2022-04-17 17:13:31 [http-nio-8888-exec-7] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'class path resource [config/poll-manager-dev.yml]' via location 'classpath:/config/'
